Perusahaan,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C*,Peringkat
Datagate,0.13430103621673353,0.12110446257684324,0.3629287198535177,0.35972481491887265,0.4710277716229152,0.9982340372826681,0.0270442170843128,0.0270442170843128,0.5139208519334217,0.2254009111037021,0.6205476748924165,1.0
Plastik K.,0.8314718079603052,0.8109097429997313,0.09203956007812554,0.03370936453045309,0.2602960279694379,0.0019690480667881797,0.09658648958683143,0.09658648958683143,0.09759305067018516,0.2771322677504534,0.5747130939025568,2.0
Aselsan,0.22343063287203618,0.20431147733842558,0.3838468016894554,0.4375886991863981,0.06081370614947073,0.0008074782356701562,0.3419161731373832,0.3419161731373832,0.0347805021005447,0.273437170847114,0.531424294424689,3.0
Arena,0.13598096578719998,0.10078091012070962,0.34044178187988483,0.29547128440542686,0.48138615014288,0.035425556891630225,0.048293244793415714,0.048293244793415714,0.5109544978097079,0.380594981043956,0.5181420935443894,4.0
Karel,0.22669716259238756,0.20048586746432984,0.1830332160644542,0.08514384092668434,0.11227145750671519,0.0013209884809852136,0.2646469814679181,0.2646469814679181,0.06351705767402248,0.3768998841406166,0.5080862369397687,5.0
Indeks,0.1209549290735835,0.10185686289779905,0.3880304180566429,0.4546807713426842,0.2986108904518883,0.015930022458443164,0.030907676667786058,0.030907676667786058,0.4353124676550052,0.14780387613357515,0.4828095605181286,6.0
Alcatel,0.1239414705321905,0.14118891441584588,0.37757137713867406,0.41163407109722294,0.2126252106947612,0.009287730541262496,0.061815353335572115,0.061815353335572115,0.2867352054834885,0.20323032968366583,0.4787339354023421,7.0
Armada,0.13952748376929577,0.11500739684000316,0.34096473392578325,0.29626258404229194,0.345613425241406,0.04390116328228358,0.028975946876049426,0.028975946876049426,0.3474342267399828,0.16258426374693266,0.47352016995892127,8.0
Escort,0.044611463037942056,0.01876939844478222,0.10772812145507875,0.040989321189611974,0.40809783760377427,0.00017823005055151854,0.20669508771581924,0.20669508771581924,-0.12458687319598104,0.14041368232689638,0.43934506546885393,9.0
Anel,0.08147658416762221,0.09791170271513781,0.3566532953027365,0.34025884385199123,0.0856515385145476,0.00022464365175570906,-0.1371528152133006,-0.1371528152133006,-0.19577937216511307,-0.07390193806678758,0.32671285342525636,10.0
Link,0.2905344862701122,0.3700082050101973,0.06693786187500039,0.023264209323833822,0.13243131247567894,0.00029574436959647584,-0.6026996950218281,-0.6026996950218281,0.06496315530933297,-0.48036259743411924,0.1908311845656599,11.0
Logo,0.16827294530838816,0.2127995492465755,0.10197564895019591,0.03845716235164366,0.13076060626278138,0.00023056491589363326,-0.6084948843970379,-0.6084948843970379,0.09770428894982441,-0.40646065936733167,0.15098711042701884,12.0
